,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
795,After working for two and half years I actually did not like anything about,Appraisal policies,0,0,0,0,0,0,0,0
796,We can't expect  career growth fast career growth,Career growth,0,0,0,0,0,0,0,0
797,"Work culture, work life balance",Technologies worked upon are not very latest. Legacy is still maintained,0,0,0,0,0,0,0,0
798,"My organization authorize each individual to work as you are only owner of your assigned work, which give eminence feeling to individuals. 
career growth and continuous learning.
excellent environment to grow.",nothing as such,0,0,0,0,0,0,0,0
799,All well,All well,0,0,0,0,0,0,0,0
800,Nice but middle level managers not showing good behaviour.,Awanish Chandra Mishra . Abhishek luetria Kashif afagani . colleagues Manish Kumar updyay subhesh Tiwari.,0,0,0,0,0,0,0,0
801,"Job security, safe working environment, good salary appraisal",Nothing ng,0,0,0,0,0,0,0,0
802,Good experience,Enjoying in job,0,0,0,0,0,0,0,0
803,I would like to thank full for reliance group and great howner to work with shuch kind  of friendly environment.,Work is hard but your cordinator have encouraged your work.,0,0,0,0,0,0,0,0
804,They provide job security and there is not much work stress. You get sufficient time to deliver your work.They have a child care facility which is quite helpful for working women. They provide wonderful transport facility at nominal rate in case you don't have personal travelling arrangement.,"Compensation is decent but not as par with other automobile OEMs like Mahindra and Maruti Suzuki. Also the worst is that it is a 6 day working company with no work and personal life balance. While other OEMs have shifted to 5 day working, it is still intact with 6 day working policy believing that it more efficient. Career growth is almost stagnant with new promotion and progression policy. Everyone from a 1 year experienced engineer to someone 10 years experience have the same designation as Senior Manager unlike other company which makes us feel awkward. For progression within the band and engineer have to spend may be minimum 3 to 4 yrs and there are 3 levels in a band. So all together if you consider minimum 3 yrs for progression, you might need 9 yrs for promotion from one band to another. All together there are 6 bands from L1 to L6.",0,0,0,0,0,0,0,0
805,"Work environment, career growth, job security, salary, training",Work life balance,0,0,0,0,0,0,0,0
806,"Salery system is exelent., This is good organisation for learning and. New innovationsss,  specialized projects. Acomodation facility also good. Work system is good but working enviornment is bad. This organisation conduct Some training system and dovelopement system for stafff thats is a good system. About QUALITY & SAFETY there is a good  system. LnT known about their Quality and safety .","Company salary system and banefits are good but growths is slow for DIPLOMA ENG. Work pressure is very high at all levels, does not matter you are training engineer or supervisor or oficer or managers. APPRAISAL SYSTEM is the wrost system. Duty timing min. 12 hrs to 24hrs. Depend on work. If you want for holidays only for 7days after 5-6 month, p.m always denied. And if you have any urgency and you goes to leave then samjhlo ki APPRESSAL nahi milegaa. Company system are decent but at site level P.M ruler like TANASAHAA.",0,0,0,0,0,0,0,0
807,"Working environment, leaves and all other things are good",Salary packages are very low,0,0,0,0,0,0,0,0
808,Training,Salary,0,0,0,0,0,0,0,0
809,"AN INDIAN AIR FORCE IS BEST BUT THOSE ARE DOING SERVICE NOT WORKING AS PER SCIENCE MOTTO AND NOT INVESTIGATING FOR TRUTH AS MY VIEW NO RULE IN MY GOVERNMENT AFTER INCIDENT OR ACCIDENT , DON'T SAVE HUMAN LIFE HERE ONLY SAVING THEIR SERVICE SO IT IS DIFFICULT FOR ME WITHOUT SEARCHING AND SCIENCE..",HERE I LISTEN MY SENIORS THOSE ARE GIVING FRUIT/OUTPUT TAKE WORK FROM THEM FOR OTHER LET DO WHAT THEY WILL DO. IN MY VIEW TAKE OUTPUT FROM ALL LET DO SOME BETTER.,0,0,0,0,0,0,0,0
810,Company policy is very good.,No Internal promotion in this company.,0,0,0,0,0,0,0,0
811,It is good company for work nd staff was very nice nd especially chef team Hk team nd service team was very supportive management was good .,Nothing,0,0,0,0,0,0,0,0
812,Satisfactory,Pressure,0,0,0,0,0,0,0,0
813,Satisfaction,Yes.,0,0,0,0,0,0,0,0
814,Very nice and care...,Managers illegal business,0,0,0,0,0,0,0,0
815,"No job satisfaction , Poor HR","HR 
Line Manager",0,0,0,0,0,0,0,0
816,Nice experience,Salary,0,0,0,0,0,0,0,0
817,Compensation part is good if you are a performer you are appreciated. Senior management PPL are approachable and you can seek help from them.,"No standard hiring process( e.g profile which is open for MBA graduates one fine day u see they have hired a plus two guy and filled the position) this spoils the environment. Exit procedures are the worst they can hold and deduct ur FNF as per their will no justification given no transparency...I will say lack of structure,it is more of sole proprietor company they do things as per their will and wish.  I will say it is good for fresher and under qualified if u are experience with higher education this is not right place.",0,0,0,0,0,0,0,0
818,Not bad but nothing to any program.,Politics,0,0,0,0,0,0,0,0
819,"Good paymaster, but have hire n fire policy. Now once the SSC moved under Vodafone India team, the working is horrible","HR Policies, work culture..",0,0,0,0,0,0,0,0
820,Good company for progressing ourselves in career.,Night Shifts,0,0,0,0,0,0,0,0
821,Good platform for developing your skills in the Aviation,Nothing,0,0,0,0,0,0,0,0
822,Nothing good,"No job security, no career opportunity, worst work culture",0,0,0,0,0,0,0,0
823,Job security,Senior employees attitude and behaviour,0,0,0,0,0,0,0,0
824,Labournet organisation having decentralised working culture. I can take the decision and pass to bottom level as well as higher level.,Salary/appraisal is depent on work basis,0,0,0,0,0,0,0,0
825,Unity and strength,Manager of amazon in nagpur 😂,0,0,0,0,0,0,0,0
826,It's very good company.,All good,0,0,0,0,0,0,0,0
827,The company is open to innovation and readily adopts latest technology.I love that I am part of team reliable high quality products and has a client base. As a result i got uno nummero award form company for high performance for quality which means accuracy Another plus point is that my colleagues from various department and we work happily .I also like re hire policy here.,The person who are abscond from company or otherwise who attend one month notice period company are not hiring .and politics,0,0,0,0,0,0,0,0
828,Environment and growth.,Ntg,0,0,0,0,0,0,0,0
829,"Nothing, you will not have any work if you joined as a fresher,
long bench time","mandatory 9 working hours,
no hike
no work
In short waste of your career time.",0,0,0,0,0,0,0,0
830,Work culture,Politics,0,0,0,0,0,0,0,0
831,Good salary good incentives and company provides Clothes depending upon seasons like during rainy season PayTm rain coats during winter PayTm sweaters during summer Paytm Cotton Formal Shirts and T-Shirts,High work pressure with competation market and work-life balancing is not easy,0,0,0,0,0,0,0,0
832,Overall good place to work,Nothing,0,0,0,0,0,0,0,0
833,Enjoying enough,Salary,0,0,0,0,0,0,0,0
834,"Good working culture, Supportive, Motivative, growth oriented","career growth is too slow
increament is descent",0,0,0,0,0,0,0,0
835,"I am working with Rivigo for 6 months this is the best industry of learning and working. 
Daily basis smart and clean work and shift wise devided work.
Very hard work person touch the Rivigo
another person not worked at Rivigo.","If any employee dislike the Rivigo 
Timing issue.",0,0,0,0,0,0,0,0
836,There is plethora of reasons i liked while working in samsung  C&T. first of all the management they provide 100% safety to the whole workers who are working in their organization. Secondly the wages which the company provide can almost cover the basic and primary needs of every employ. finally it is the only organization which is mainly focusing on both safety and Quality in same hands.,The work pressure is very high,0,0,0,0,0,0,0,0
837,Work culture is great. People are very helpful and encouraging. Company takes the responsibility of one way journey and food which leads to a great savings.,Awful office politics are there due to that the deserving candidate doesn’t get recognition. Also the department of customer care has been removed and it is out sourced. People lost their jobs.,0,0,0,0,0,0,0,0
838,Employee satisfaction,Harassment of subordinate,0,0,0,0,0,0,0,0
839,Friendly nature and food.,They don't treat properly on experience candidate and once you leave the company and try to rejoin again they won't consider you even as a human.,0,0,0,0,0,0,0,0
840,overall experience was good,nothing,0,0,0,0,0,0,0,0
841,"It's very good experience, to work with sodexo it's really good in salary rules ....
Opportunity to growup","Compationsation is good  ,good good good good",0,0,0,0,0,0,0,0
842,"Hi..! This is Sruhitha worked in 'Intelenet Global Services' for Flipkart email support. It is a good platform for freshers to gain experience in Bpo...all about I learnt is 'what is customer satisfaction'...basic knowledge was taught by the trainer about the process and teammates who are tenured supported well and helped to learn the process quick....job security and work environment are good too, working hours for females are comfortable and flexible.","The most dislike in Intelenet is no proper pantry available. No incentives, increment in salary and cab facility.",0,0,0,0,0,0,0,0
843,Overall experience is excellent,Work culture,0,0,0,0,0,0,0,0
844,Yes,There have big messup and politics as ground level no anyone decided for all asclation and hiriki,0,0,0,0,0,0,0,0
845,Working culture and management,Nothing,0,0,0,0,0,0,0,0
846,"It is a best place to learn everything to developed skills. Work environment and culture is too good.
Rivigo is technology enabled company. 
No any work pressure because every peoples work here friendly.",Appraisal is not good here,0,0,0,0,0,0,0,0
847,My professio as well a guest handlingmy profile is as gra guest relation associate,Amazing property,0,0,0,0,0,0,0,0
848,"Best training, job security, work environment,","Career growth, salary and politics",0,0,0,0,0,0,0,0
849,Company everything is good but only use through like that treating trainees pls . 🥰about there Carrier also pls support them.... Only thinking company benifits not trainnee future... Pls correct it,Same that pls respect trainees there are not workers,0,0,0,0,0,0,0,0
850,Excellent cooperation between each individual and it's honour for me to work in indian navy,Nothing  like that,0,0,0,0,0,0,0,0
851,Everything is good.So many things I learnt from this job and its very good experience from one97.,Compensation is decent but growth is slow.I need a job so please inform me if any vacancy are there.I am interested for job.,0,0,0,0,0,0,0,0
852,Trainer shaft is good only.,"I am going to complete 2 year working in this company, our salary increment is not yet after 2 year and job security is not enough",0,0,0,0,0,0,0,0
853,work enviornment,slow growth,0,0,0,0,0,0,0,0
854,Over all company is very good,Things are good,0,0,0,0,0,0,0,0
855,"Good culture, Growh, Company process good,Training. Good company.",No,0,0,0,0,0,0,0,0
856,Unlimited scope of learning.,No comments.,0,0,0,0,0,0,0,0
857,Culture work style etc.,Nothing,0,0,0,0,0,0,0,0
858,"The only thing is good was infrastructure ,","1. higher management don't follow process or any standard it's like they just di random work and that's why work is completely unmanageable and mess and everyone suffers.
2. They are not hiring or train employees with good skills , so their work level less than marginal.
3. Worst work life balance .
4. Lots of politics , favouritism, partiality.",0,0,0,0,0,0,0,0
859,Jet airways experience 1ears,My name is Umesh from Mumbai,0,0,0,0,0,0,0,0
860,Dhl is a good managment working and har manthan payment are pay so dhl all employee happy,Dhl no I dislike dhl is good company,0,0,0,0,0,0,0,0
861,"If you are good at manipulations and at blame game, exclusive place. Low self-esteem, useless","Except few good people at floor level, every corporate to mid level executive, useless because of work culture prevalent here. People with no alternative are struck here.",0,0,0,0,0,0,0,0
862,Awesome,Ntg much,0,0,0,0,0,0,0,0
863,"It's pathetic. 
All new joinees. No knowledge. ..no planning",Pathetic,0,0,0,0,0,0,0,0
864,Dr.Reddys laboratories is good in safety and Quality which is most important for a pharmaceutical company.,Politics,0,0,0,0,0,0,0,0
865,"Company culture , overall learning and growing opportunities are excellent .",Compensation variance .,0,0,0,0,0,0,0,0
866,"Good salary,job security","Terrible working hours,
Poor work culture,
Machine like treatment to human
Worst place to work (they say great place to work)
PPT driven management",0,0,0,0,0,0,0,0
867,Work Culture and Oppurtunities to work in multiple large scale projects,Under qualified managers,0,0,0,0,0,0,0,0
868,"Work culture, growth opportunities and vast learning experience",Pay structure is poor,0,0,0,0,0,0,0,0
869,Nice company,Nothing,0,0,0,0,0,0,0,0
870,All team members are very supportiv.,Not applicable.,0,0,0,0,0,0,0,0
871,"One of the officer who had lost both the eyes in a mine blast replied to a media reporter on his query  that what would you like to become in next birth,""I would like to join Indian Army to complete balance of the tasks which I have not been able to do it now.That is the kind of training & motivation /culture we have in the Army.If one wants to lead life of an officer  (real officery)there can not be better organisation. Indian Army officers are the real leaders who lead from the front.Today if our country is united we all per I lot to the sacrifice  of Indian Army officers &other personnel who lay their life willingly  to provide us safety&comfort.As regards to salary &other benefits it is one of the best in Group A  services.(if other unauthorised  means are not taken in to account).Life is full of challenges, frequent postings but one start enjoying it.","Due to pyramidical  structure promotion are not as good as other services ie IAS/IPS,it is high time Army changes its pyramidical  structure  and widen it.My article ""Promotional Reforms  in the Army ""published  in Hitvaad gives more details  about it.But the kind of Izzat&respect an army officer gets,even the top brass of other services envy it.",0,0,0,0,0,0,0,0
872,"Travel, learnings","Salary structure, culture, very bad politics, work environment, no work-life balance, old fashioned rule, no proper travel compensation, no guarantee, transfer, worst appraisal",0,0,0,0,0,0,0,0
873,No politics everything under system,Plant relocation not comfortable,0,0,0,0,0,0,0,0
874,jubilant food works it best origination fast growing  company in India  good atmosphere so im join this company after that our CEO MR Ajay Kaul left the company so all employee benefits & growth stop,Men reason our senior level and hr team helpless and not supportive employee benifet zeero job security nill,0,0,0,0,0,0,0,0
875,"Nice place to work. Superiors & Team mates supportive, periodic trainings conducted, job security average, growth slow, salary/ appraisal (average), politics & favoritism yes, learning fair, work environment fair, innovation not observed, work life balance fairly good. Overall OK/ average.","Favoritism, politics, constant job insecurity, coercive means to relocate or leave job.",0,0,0,0,0,0,0,0
876,My feedback is for particularly Zenext Division leadership and people to be very precise at Delhi region may be company is good but I personally can't comment anything good as I was not make felt anything like that. It is the people who make the company's image internal or external good or bad.,"As per my experience I lived like fools paradise. Too much politics is there. No work life balance no bother what you felt. No professionalism. Salary/appraisal??? Career development of you want all these then this is not the company for you at least for talented people. But yes you have buttering talent than anything you can get no need of any talent.No transparency, no feedback system no one will listen you. Innovation   keep with you only. Very big communication gap between people and leadership. You can see the politics at every level. If you like this environment than grab the opportunity.
Again this is my personal experience nothing to do with the company, I shared which I make felt by my leadership. In my 11years of career I had not worked these kind of people. Now you will think why I had choose this company to work. Let me make it clear that I had not chosen this company my previous organisation had took this decision due to some unavoidable situations...now no space to type s",0,0,0,0,0,0,0,0
877,Indian Army has always been my dream job. I entered as a sepoy in clerical job and retired as Subedar. The job has it's own qualities and experiences which affected and enhanced my life. The team work and deciplined life has given me great guidance in the way of living. It's been a highly responsible job and I always feel proud to be able to play my role in the service of my nation.,The only difficulty in this job was that I couldn't be with my family and loved ones in the time of need due to the distance and lack of leave. But all this has never brought any disregard to the Army as it is all for my country and I feel proud to be able to give it what I could.,0,0,0,0,0,0,0,0
878,As jio has makes a different name in telecom sector and other one seems that wao...  he is a jio employee.,"Very dump culture of jio.  Not a little bit growth,  no slove of salary..  on same profile u will get diff package.  u have much time spend with jio but there is a no security of ur job whenever u can get surprise by higher management",0,0,0,0,0,0,0,0
879,Innovation,Job full fill my exp...,0,0,0,0,0,0,0,0
880,"Good team work, supportive teammates","salary/appraisal is less, no job security",0,0,0,0,0,0,0,0
881,"Job security,learning things,","Increment,two months notice period",0,0,0,0,0,0,0,0
882,You can learn so much in sales,Not Happy with Environment too much politics.,0,0,0,0,0,0,0,0
883,"Fine Goodevening everyone in this group, I am very intrested because, the company offered in 2013 may 29th. I am fullpledgely welltried, but our area in (TIRUPATHI) business competation in ex-employees and others are created rumors.., ONE DAY FINE MORNING I VISTED  WITH MY SISTER,TIRUPATHI BRANCH OFFICE, BECAUSE OF POLICY CREATED PURPOSE, FRONT OFFICE IN SITTING EMPLOYEES TOLD US, HERE NOT BOOKED ANY POLICIES, AS ANSWERD GIVEN US, WE CAME BACK...,I WANT TO ENROLL MY EMPLOYCODE RENUAL..., COMPANY IS ALWAYS THINKING BRIGHT & VERY GOOD PRODUCTS ARE INTRODUCED WITH CALGULATE BENEFITS.....,  WHEN WE SUCESS IN MARKET WE ARE THE REAL FINANCE GUIDERS By Sreenivas.N.","WHEN WE BOOKED POLICY, THE POLICY SUM ASSURED PAYMENT DELAYED.., IT IS NOT MY OPINION, WHEN I AM ENTERED IN MARKET THE EX POLICY HOLDERS ARE VEXED,  AND COMPLAINED ME...,( N.SREENIVAS & JAYAPRAKASH ARE ENTERD IN MARKET SITUATION, THE MARKET PULSE ALSO WEAK, JAYAPRAKASH SUDDENLY TAKEN DECISSION JOINED IN BHIMAS HOTEL MASALA PRODUCTS. I AM DISAPPOINTED...,",0,0,0,0,0,0,0,0
884,Work environment,Poor salary and compensation,0,0,0,0,0,0,0,0
885,Amazing Team leader and teammates. I was based in my own home town. It was a good experience working with Ericsson.,Growth is slow. There is very less facilities for the third parties employees.,0,0,0,0,0,0,0,0
886,No space to work. Very controlling environment. No work life balance. No growth. People ate more intrested in pulling you dwn instead of supporting.,"Talk about teammates, bad culture and environment.",0,0,0,0,0,0,0,0
887,Fossil provinding good salry and here we are learning things and the environment is veri good,"First thing fossil has needs to lounch more verity of watch's because they have only depends only selectd platform  like machine,grant,jecculin,verginia.giorgia
Second this time they have can't understand our cso they thik we are comming and we are here for time pas we are not doing anything we also trying to achive our target we also need incentives if any senior have any doubt so it's not necessary that cso is responsible there is many thing that fossil have to maintain that nor souting on our cso .",0,0,0,0,0,0,0,0
888,"I really learned so much things like menpower handling, leadership, decisions making skill, technical things. I am in maintenance department so i get so much technical knowledge.",The growth is very slow.,0,0,0,0,0,0,0,0
889,"Faurecia system it's very extra ordinarysystem , fully system based work...","Salary issue, there is no growth...",0,0,0,0,0,0,0,0
890,"Berger paints is a one of the best brand leading company.I love the fact that I am a part of a team that markets reliable,high quality products and has a global client base.Especially I learned markets and marketing techniques.Berger paints is changed me to a salesman.Now iam a completely salesman.I proud to be working in Berger paints.Berger paints is a strong base for me .So Iam confident I build my life because my base is very very strong.",Now Iam working in OFFROLE and limited space(No space for completly esplore my talents),0,0,0,0,0,0,0,0
891,"Sai is a nice company where one can experience the rich scientific exposure,  gives global competitive environment for employees.",Nothing,0,0,0,0,0,0,0,0
892,I am part of a team  but on site travel is completely dependent on project,"The training for freshers hence senior folks like me have to guide them step by step, which is a pain sometimes",0,0,0,0,0,0,0,0
893,There is every month 10 % increase work load .,The management not looking your sales performance .he will look only your retail application data management.,0,0,0,0,0,0,0,0
894,"The company is innovation and career growth and training, salary,work enviornment,teamwork,etc.",there is no on job training for fresher.,0,0,0,0,0,0,0,0
895,Everything,Nothing,0,0,0,0,0,0,0,0
896,The Company is open to innovation and readily adopts latest technology. I love the fact that i was a part of a team that market reliable.,"Compensation is Decent, But Growth is Slow.",0,0,0,0,0,0,0,0
897,"Work pressure,but it doesn't matter as salary Credit in time.",Rare National holiday provide. And 3 of 4th Sunday is working day.,0,0,0,0,0,0,0,0
898,I'm like these job whith aparna,"Odia, English and Hindi",0,0,0,0,0,0,0,0
899,I like to work with Fossil as its one of the Best Fashion Brands from US which helps us to do good sales and my Fossil Team is very supportive specially my Store manager and my other staff.  We enjoy working together.,Working for a fdi company Fossil we required some additional benifits which other fdi company offers.  Eg 2 week off.,0,0,0,0,0,0,0,0
900,"Job security, salary, work-life balance",Politics,0,0,0,0,0,0,0,0
901,Sales staff were very good,Salary issue. Never get incentives on time. Always a backlog of incentives.,0,0,0,0,0,0,0,0
902,"I jus worked here for 4 months. I would like to share my experience. My teammates were awesome and which I were comfortable with them. Trainings given by trainers were gud Nd it mostly depends upon the project Nd the trainee. Salary ll b not up to expected, work environment is awesome. Colleagues and seniors were friendly.",There ll be lack of innovation if u r looking for the opportunity to expose creative ideas this is not a place. Nd no mind work is there. Working hours lil bit complicated. Work pressure is high.,0,0,0,0,0,0,0,0
903,Hi all I want to speak about my team. Daily morning we conduct morning meeting with all my team with happiness joy. What target we provide for the day they acheave.some they not complete they target. I will also help in what and why target  not happening. Daily morning our trainer  helps abt new products lunched. And daily we get only test regarding newely company lunches any thing. In our company there is no job security. But we work in onrole job. In our company we have so much of career growth. Depends on our performes. In our company we have good salary. And good incentive. There is no any politics. Work environment is also so good daily in market enjoying with my work and with my team.,Hi acatualy I don't have dislike about Homecredit finance pvt Ltd.,0,0,0,0,0,0,0,0
904,"No work pressure, good for start the career","Site locations are very bad you have to carry food, water etc to site, you have to pass whole day under the tree. If you have no other option then only join rvnl",0,0,0,0,0,0,0,0
905,"Work environment is very good. Freedom of work. Excellent work life balance.
Ideal for people having 15 and above core experience and wants to work in testing and certification field","If you are freshers, you will not get core technical knowledge. After few months you may feel that are doing just repetitive work.",0,0,0,0,0,0,0,0
906,"Team work is good, regular intervals training's are conducting,job security is 100 % if your not done wrong things, basically civil based company so MEP service lern to know is not possible, salary is less as per construction line & other fesilities are good (accommodation, transportation,op) mainly this appraisal part spoiled our growing why because once in a starting Superior had given average rating due to not know about that person and he doesn't want to ask to know about that person with his in charge. Due to thoes condition our rating will remain same few years if lucky will not knock the door.due to this promotion will come late. Company will not provide any tours office transportation only. Every where internally politics will be there I told due to this also site level persons doesn't get  worthble ratings. For learning civil part it good gift for staff but electrical scope less and its given to back to back contractors. Working environment is good and thier eip system is very good. Innovation in civil fentastic we did several projects but MEPF not that much satisfied. Working and family life completely two different angles due to it's a roaming job most of the people leave bcz thier children's education wife doing job and parents gardening in home town like several problems and mostly this working hour's will kill our personal time enjoyment with family completely 12hrs +travel Total 14hrs min. And possibilities are thier bcz in l&t 12 devision if employees want to switch to other devisio suffling it's good to know about other devision for innovative ideas implications. Over all lot of people depends on l&t to live there life","Team work is good 
Less Salary & once rating down means  slowly growth this will spoil our life, training session are good but site people will get very less chance to attend.job sequirty is there",0,0,0,0,0,0,0,0
907,Very good company,Compensation is decent but growth is slow .the work pressure is very high.work life balance,0,0,0,0,0,0,0,0
908,GOOD,GOOD,0,0,0,0,0,0,0,0
909,I likr enviroment job security,Appraisal,0,0,0,0,0,0,0,0
910,"The company is having good corporate culture and comfortable work environment. I have learned many things from this company from the beginning of my job here. I am feeling lucky to be a part of a global multinational company which is having bunch of opportunities. The best thing about the company is HSW policy in which there are 9 compulsory rules related to health and safety wellbeing. Company always taking care of all employee's health and safety first so we feel safe and overwhelmed about it. I'm suggesting to everyone that even as a human being we have to follow these rules atleast for our own security and safety. 2nd best thing is company is having JOSH team in which we are doing fun activities every Friday and there are many events and celebrations related to our festival like navratri,diwali holi etc. Overall this is very good company to work with and I'm enjoying being here.",Compensation is good but growth is slow. The work pressure is high and sometimes i have to spend extra hours straight in a day as i have to attend customer's calls even in the evening and sometimes into late night. I do receive appreciation mails from my boss and clients as well but they mostly go unnoticed during my appraisal. This is my request to company to value every individual's strength.,0,0,0,0,0,0,0,0
911,Good facilities,Less salary increment,0,0,0,0,0,0,0,0
912,I am not recommending anyone for this company i worked there,dsfdvgfdsdas,0,0,0,0,0,0,0,0
913,"Nothing such a worst interview had in my life by 
Hr. Mrs dipali","Worst experience 
And I'm sure that would have been selected bt se doesn't bother about my talent she just reject all the members of my batch.
A mechanical engineer also can do wht u have not thinked of mrs. Dipali(hr) @indigo",0,0,0,0,0,0,0,0
914,Work and life balance,No disliking,0,0,0,0,0,0,0,0
915,All the seniors are very friendly. Free environment to work and grow.,Compensation variation at the same level.,0,0,0,0,0,0,0,0
916,"I like about working at Vodafone Idea Ltd, Also 3 years Working experience sales promoter at Vodafone Idea Ltd in Gwalior.","I don't like about working at Vodafone Idea Ltd, But TM Manish Rajput sir salary cutting problem most important  Or Salary collect disturbuter not Account",0,0,0,0,0,0,0,0
917,"Salary is average, never too low.  Job security.","Management is not at all good.  Too much of politics. Growth is very slow. Hiring process takes too long. It took me 5 months to actually join, since the time  I got selected. Cleanliness is pathetic. Too long working hours. In case of natural calamity or other issues they will ask employees to come on their own, they don't bother about employee safety.",0,0,0,0,0,0,0,0
918,Work-life balance,Job security,0,0,0,0,0,0,0,0
919,very good working culture,presently require some improvement in Management,0,0,0,0,0,0,0,0
920,While entering into Vodafone you must have good salary otherwise very difficult to progress and more cost cutting by bonus.,Work and work no leave...,0,0,0,0,0,0,0,0
921,"Learning options of world class system, work culture, knowledge",Work life balance poor,0,0,0,0,0,0,0,0
922,Learning from work and Company Policy is very good.,Nothing,0,0,0,0,0,0,0,0
923,"Training, good salary future growth job security",Job security,0,0,0,0,0,0,0,0
924,Its good platform for career ....its learning area to imporve the technical skill,Nothing,0,0,0,0,0,0,0,0
925,"Indian air force gives one a kind of satisfaction ,while persuing your career you are attached to the services to the holy motherland.you evolve to a man from a boy.challanges are lot but the kind of training and attitude gained in the indian air force makes you overcome the difficulties /challenges.indian air force is not a organization but a family where each one lives for other one.proud to be working in such a great organization.you get to visit almost all th e parts of the country n get to know the kind of diversities our country do have.Dicipline is the most important factor, be in life or in any organization n needless to talk about the kind of discipline a soldier is known for.","Yes, compensation is good but growth is slow.advices /suggestions of juniors are generally not given a thought.",0,0,0,0,0,0,0,0
926,Training and Learning,"Politics within the team. Salary hike depends on Mangers not by HR, no proper growth for the experienced people who are serving the company from 10 plus years. Though you get good ratings in Appraisal Salary hike will be decided by your manger. If you are not in his favorite list the, then you will get 0 hike for sure. HR should have hold on the Salary hike not the Managers.",0,0,0,0,0,0,0,0
927,The company is open to innovate and readily adopt latest technology i love the fact that I am a part of team that markets reliable high quality products and has global clients have as a result I get to travel abroad especially to the US and Canada but on site travel is completely dependent on your project and client location I also like the employee rehire policy here's,Compensation is decent but growth is slow the work pressure is very high sometimes I have to work 12 to 16 hours straight in a day as I have to attend client call in the evening and sometimes late into the night I do receive appreciate email from my client but the mostly go annotaticed during my mid year appraisal.,0,0,0,0,0,0,0,0
928,The Scale & Opportunity,Career Growth Trajectory,0,0,0,0,0,0,0,0
929,Rules Regulations,No comment,0,0,0,0,0,0,0,0
930,Job security/ Career growth/ Politics/ management/ Work - life balance,Salary/ Appraisal in Industrial department,0,0,0,0,0,0,0,0
931,Work culture is very good. The best part is I have developed my technical skills at a very high rate. Great experience working with infosys,Nothing,0,0,0,0,0,0,0,0
932,Job security,Nothing,0,0,0,0,0,0,0,0
933,Company culture is excellent and sklil development  is so good,Career growth and opportunities not good as a team member,0,0,0,0,0,0,0,0
934,"Hi team,my name is shaik manjoor elahi,i worked in hgs nearly 5years 9months, i got so much support from my teammates nd from my PR's,i learned alot hear people management nd I developed my skills hear, overall my experience was so good,because of Ramp down I came out of hgs,where ever I go I will my 100% nd I woke for my organisation growth as well as my career nd my financial growth.","The only dislike is my salary,working for 5years 9months I came out 17k,that it but  company has some policy that I dont to point out nd thank you",0,0,0,0,0,0,0,0
935,ITS VERY NICE PLACE N WORTH OF MONEY,NOTHING,0,0,0,0,0,0,0,0
936,The company is in good way at present and it's work is highly qualified and safed . I really appreciate that and I am a part of that company which gives me a knowledge and skills. Thank you,Mostly it's a good firm but there was salary issues and some work issues.,0,0,0,0,0,0,0,0
937,"Excellent campus, Good infrastructure, cleanliness.","Very less appraisal, poor management and full of politics, job insecurity. Big organization don't know how to organize. No over time pay.",0,0,0,0,0,0,0,0
938,"Hi good day , HUMAN RESOURCES
Myself Md Jaffer Hussain I am feom india i have 5 years of experience in samsung store in Hyderabad City mall 
My work is to assist the customer and satisfied them by providing them good service and products 
Presently i am in dubai working with aswaaq retail as a custumer service assistant (C.S.A) 
you can ring me on my new number +971558318823
Thanking you,
Best regards,
Md jaffer hussain.",I have been worked as a salesperson for 2 years then i got promoted and handle the team of 8 members,0,0,0,0,0,0,0,0
939,Nothing at all! Once project heads toward success they will either kick you from organisation or start making your life miserable so you can quit bh yourself !!,"I dislike everything about Ericsson because my career just spoiled in those 2 years. I had to quit from there cos of their politics and favouritism towards their own people! I sat at home for exactly 1 year as market was very weak and I hadn’t learned anything in those 2 years! Worst company to work with and please note it down I am talking about Bangalore competency. And I am not the only one who left cos of this atmosphere, around 19 employees have resigned during that time but nobody wanted to raise these questions as they scared to say anything cos mostly were fresher or with less experience !!",0,0,0,0,0,0,0,0
940,"Team work, Tough training, Appreciation for Good works, Independence on showing skills, Career growth, Rules and policies, Welcoming innovative ideas, work environment, Self-respect and salary obviously.","Work-life balancing !!#?, sometimes biasedness ??#!!",0,0,0,0,0,0,0,0
941,"Overall good ER, Training, work exposure.","Salary package is decent, work pressure is high.",0,0,0,0,0,0,0,0
942,Good compensation and on-site travel opportunities. Open to innovative technology.,"Poor work life balance, disproportionate work allocation. Serious lack of growth opportunities backed by weak appraisal policies & procedures.",0,0,0,0,0,0,0,0
943,Freedom of speech and exemplary employees satisfaction,Nothing so far,0,0,0,0,0,0,0,0
944,The thing i like the most is the cooperation of my manager and teammates. But i dont see any career growth there as the employees who are working since 3 to 4 years are still on the same position and appraisals are also not enough. No company tours and outings were there. I feel somewhere the leaders are partial and biased to some of the executives in the company. Company is more into work.,The thing i dislike the most is the over time and no salary for that. The company shift was of 9 hours but some times it turned into 10 for completing the monthly targets and company didnt pay for the overtime and moreover sometimes company also made us work on holidays for the target completion. Thr appreciations and rewards were not according to the hard work of the individuals.,0,0,0,0,0,0,0,0
